currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2025-12-25T19:14:01.854002+00:00,selenium_simple
Australian Dollar,2.460637,2.460637,2025-12-25T19:14:01.854002+00:00,selenium_simple
Brazilian Real,0.665187,0.665187,2025-12-25T19:14:01.854002+00:00,selenium_simple
Canadian Dollar,2.684969,2.684969,2025-12-25T19:14:01.854002+00:00,selenium_simple
Swiss Franc,4.665862,4.665862,2025-12-25T19:14:01.854002+00:00,selenium_simple
Chinese Yuan - Offshore,0.524815,0.524815,2025-12-25T19:14:01.854002+00:00,selenium_simple
Chinese Yuan,0.524194,0.524194,2025-12-25T19:14:01.854002+00:00,selenium_simple
Euro,4.327716,4.327716,2025-12-25T19:14:01.854002+00:00,selenium_simple
GB Pound,4.966193,4.966193,2025-12-25T19:14:01.854002+00:00,selenium_simple
Japanese Yen,0.023564,0.023564,2025-12-25T19:14:01.854002+00:00,selenium_simple
Singapore Dollar,2.859534,2.859534,2025-12-25T19:14:01.854002+00:00,selenium_simple
