currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-03-10T19:17:56.975001+00:00,selenium_simple
Australian Dollar,2.611648,2.611648,2026-03-10T19:17:56.975001+00:00,selenium_simple
Brazilian Real,0.709648,0.709648,2026-03-10T19:17:56.975001+00:00,selenium_simple
Canadian Dollar,2.704544,2.704544,2026-03-10T19:17:56.975001+00:00,selenium_simple
Swiss Franc,4.730774,4.730774,2026-03-10T19:17:56.975001+00:00,selenium_simple
Chinese Yuan - Offshore,0.534252,0.534252,2026-03-10T19:17:56.975001+00:00,selenium_simple
Chinese Yuan,0.534011,0.534011,2026-03-10T19:17:56.975001+00:00,selenium_simple
Euro,4.270349,4.270349,2026-03-10T19:17:56.975001+00:00,selenium_simple
GB Pound,4.937125,4.937125,2026-03-10T19:17:56.975001+00:00,selenium_simple
Japanese Yen,0.02326,0.02326,2026-03-10T19:17:56.975001+00:00,selenium_simple
Singapore Dollar,2.886278,2.886278,2026-03-10T19:17:56.975001+00:00,selenium_simple
