currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-06-29T19:35:22.458775+00:00,selenium_simple
Australian Dollar,2.529967,2.529967,2026-06-29T19:35:22.458775+00:00,selenium_simple
Brazilian Real,0.710183,0.710183,2026-06-29T19:35:22.458775+00:00,selenium_simple
Canadian Dollar,2.584629,2.584629,2026-06-29T19:35:22.458775+00:00,selenium_simple
Swiss Franc,4.544049,4.544049,2026-06-29T19:35:22.458775+00:00,selenium_simple
Chinese Yuan - Offshore,0.539986,0.539986,2026-06-29T19:35:22.458775+00:00,selenium_simple
Chinese Yuan,0.54055,0.54055,2026-06-29T19:35:22.458775+00:00,selenium_simple
Euro,4.190916,4.190916,2026-06-29T19:35:22.458775+00:00,selenium_simple
GB Pound,4.862937,4.862937,2026-06-29T19:35:22.458775+00:00,selenium_simple
Japanese Yen,0.022684,0.022684,2026-06-29T19:35:22.458775+00:00,selenium_simple
Singapore Dollar,2.838757,2.838757,2026-06-29T19:35:22.458775+00:00,selenium_simple
