currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-06-14T19:33:20.149396+00:00,selenium_simple
Australian Dollar,2.584448,2.584448,2026-06-14T19:33:20.149396+00:00,selenium_simple
Brazilian Real,0.723075,0.723075,2026-06-14T19:33:20.149396+00:00,selenium_simple
Canadian Dollar,2.626967,2.626967,2026-06-14T19:33:20.149396+00:00,selenium_simple
Swiss Franc,4.606749,4.606749,2026-06-14T19:33:20.149396+00:00,selenium_simple
Chinese Yuan - Offshore,0.542924,0.542924,2026-06-14T19:33:20.149396+00:00,selenium_simple
Chinese Yuan,0.543092,0.543092,2026-06-14T19:33:20.149396+00:00,selenium_simple
Euro,4.249595,4.249595,2026-06-14T19:33:20.149396+00:00,selenium_simple
GB Pound,4.923721,4.923721,2026-06-14T19:33:20.149396+00:00,selenium_simple
Japanese Yen,0.022916,0.022916,2026-06-14T19:33:20.149396+00:00,selenium_simple
Singapore Dollar,2.860648,2.860648,2026-06-14T19:33:20.149396+00:00,selenium_simple
