currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2025-11-13T19:13:55.567485+00:00,selenium_simple
Australian Dollar,2.406776,2.406776,2025-11-13T19:13:55.567485+00:00,selenium_simple
Brazilian Real,0.695707,0.695707,2025-11-13T19:13:55.567485+00:00,selenium_simple
Canadian Dollar,2.621903,2.621903,2025-11-13T19:13:55.567485+00:00,selenium_simple
Swiss Franc,4.615433,4.615433,2025-11-13T19:13:55.567485+00:00,selenium_simple
Chinese Yuan - Offshore,0.517428,0.517428,2025-11-13T19:13:55.567485+00:00,selenium_simple
Chinese Yuan,0.517509,0.517509,2025-11-13T19:13:55.567485+00:00,selenium_simple
Euro,4.268364,4.268364,2025-11-13T19:13:55.567485+00:00,selenium_simple
GB Pound,4.837048,4.837048,2025-11-13T19:13:55.567485+00:00,selenium_simple
Japanese Yen,0.023749,0.023749,2025-11-13T19:13:55.567485+00:00,selenium_simple
Singapore Dollar,2.82348,2.82348,2025-11-13T19:13:55.567485+00:00,selenium_simple
