currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-03-19T19:20:56.747170+00:00,selenium_simple
Australian Dollar,2.585539,2.585539,2026-03-19T19:20:56.747170+00:00,selenium_simple
Brazilian Real,0.697663,0.697663,2026-03-19T19:20:56.747170+00:00,selenium_simple
Canadian Dollar,2.677335,2.677335,2026-03-19T19:20:56.747170+00:00,selenium_simple
Swiss Franc,4.635239,4.635239,2026-03-19T19:20:56.747170+00:00,selenium_simple
Chinese Yuan - Offshore,0.532478,0.532478,2026-03-19T19:20:56.747170+00:00,selenium_simple
Chinese Yuan,0.532208,0.532208,2026-03-19T19:20:56.747170+00:00,selenium_simple
Euro,4.232454,4.232454,2026-03-19T19:20:56.747170+00:00,selenium_simple
GB Pound,4.908447,4.908447,2026-03-19T19:20:56.747170+00:00,selenium_simple
Japanese Yen,0.023223,0.023223,2026-03-19T19:20:56.747170+00:00,selenium_simple
Singapore Dollar,2.868468,2.868468,2026-03-19T19:20:56.747170+00:00,selenium_simple
