currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-08-05T19:31:57.006709+00:00,selenium_simple
Australian Dollar,2.590646,2.590646,2026-08-05T19:31:57.006709+00:00,selenium_simple
Brazilian Real,0.718928,0.718928,2026-08-05T19:31:57.006709+00:00,selenium_simple
Canadian Dollar,2.615182,2.615182,2026-08-05T19:31:57.006709+00:00,selenium_simple
Swiss Franc,4.545736,4.545736,2026-08-05T19:31:57.006709+00:00,selenium_simple
Chinese Yuan - Offshore,0.544139,0.544139,2026-08-05T19:31:57.006709+00:00,selenium_simple
Chinese Yuan,0.544074,0.544074,2026-08-05T19:31:57.006709+00:00,selenium_simple
Euro,4.240272,4.240272,2026-08-05T19:31:57.006709+00:00,selenium_simple
GB Pound,4.946674,4.946674,2026-08-05T19:31:57.006709+00:00,selenium_simple
Japanese Yen,0.023319,0.023319,2026-08-05T19:31:57.006709+00:00,selenium_simple
Singapore Dollar,2.865782,2.865782,2026-08-05T19:31:57.006709+00:00,selenium_simple
