currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-07-07T20:48:00.202327+00:00,selenium_simple
Australian Dollar,2.549108,2.549108,2026-07-07T20:48:00.202327+00:00,selenium_simple
Brazilian Real,0.714161,0.714161,2026-07-07T20:48:00.202327+00:00,selenium_simple
Canadian Dollar,2.585539,2.585539,2026-07-07T20:48:00.202327+00:00,selenium_simple
Swiss Franc,4.555886,4.555886,2026-07-07T20:48:00.202327+00:00,selenium_simple
Chinese Yuan - Offshore,0.540256,0.540256,2026-07-07T20:48:00.202327+00:00,selenium_simple
Chinese Yuan,0.540598,0.540598,2026-07-07T20:48:00.202327+00:00,selenium_simple
Euro,4.200023,4.200023,2026-07-07T20:48:00.202327+00:00,selenium_simple
GB Pound,4.911414,4.911414,2026-07-07T20:48:00.202327+00:00,selenium_simple
Japanese Yen,0.022684,0.022684,2026-07-07T20:48:00.202327+00:00,selenium_simple
Singapore Dollar,2.842932,2.842932,2026-07-07T20:48:00.202327+00:00,selenium_simple
