currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2025-12-15T19:17:52.483005+00:00,selenium_simple
Australian Dollar,2.441173,2.441173,2025-12-15T19:17:52.483005+00:00,selenium_simple
Brazilian Real,0.681165,0.681165,2025-12-15T19:17:52.483005+00:00,selenium_simple
Canadian Dollar,2.666836,2.666836,2025-12-15T19:17:52.483005+00:00,selenium_simple
Swiss Franc,4.610797,4.610797,2025-12-15T19:17:52.483005+00:00,selenium_simple
Chinese Yuan - Offshore,0.521506,0.521506,2025-12-15T19:17:52.483005+00:00,selenium_simple
Chinese Yuan,0.521136,0.521136,2025-12-15T19:17:52.483005+00:00,selenium_simple
Euro,4.312977,4.312977,2025-12-15T19:17:52.483005+00:00,selenium_simple
GB Pound,4.915016,4.915016,2025-12-15T19:17:52.483005+00:00,selenium_simple
Japanese Yen,0.023666,0.023666,2025-12-15T19:17:52.483005+00:00,selenium_simple
Singapore Dollar,2.848887,2.848887,2025-12-15T19:17:52.483005+00:00,selenium_simple
