currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2025-12-23T19:15:46.975175+00:00,selenium_simple
Australian Dollar,2.455372,2.455372,2025-12-23T19:15:46.975175+00:00,selenium_simple
Brazilian Real,0.65839,0.65839,2025-12-23T19:15:46.975175+00:00,selenium_simple
Canadian Dollar,2.680657,2.680657,2025-12-23T19:15:46.975175+00:00,selenium_simple
Swiss Franc,4.652268,4.652268,2025-12-23T19:15:46.975175+00:00,selenium_simple
Chinese Yuan - Offshore,0.523245,0.523245,2025-12-23T19:15:46.975175+00:00,selenium_simple
Chinese Yuan,0.522545,0.522545,2025-12-23T19:15:46.975175+00:00,selenium_simple
Euro,4.324149,4.324149,2025-12-23T19:15:46.975175+00:00,selenium_simple
GB Pound,4.954803,4.954803,2025-12-23T19:15:46.975175+00:00,selenium_simple
Japanese Yen,0.023484,0.023484,2025-12-23T19:15:46.975175+00:00,selenium_simple
Singapore Dollar,2.855976,2.855976,2025-12-23T19:15:46.975175+00:00,selenium_simple
