currency,rate,rate_float,extraction_timestamp,extraction_method
US Dollar,3.6725,3.6725,2026-04-06T19:24:47.793824+00:00,selenium_simple
Australian Dollar,2.545574,2.545574,2026-04-06T19:24:47.793824+00:00,selenium_simple
Brazilian Real,0.713231,0.713231,2026-04-06T19:24:47.793824+00:00,selenium_simple
Canadian Dollar,2.641326,2.641326,2026-04-06T19:24:47.793824+00:00,selenium_simple
Swiss Franc,4.60964,4.60964,2026-04-06T19:24:47.793824+00:00,selenium_simple
Chinese Yuan - Offshore,0.534283,0.534283,2026-04-06T19:24:47.793824+00:00,selenium_simple
Chinese Yuan,0.533592,0.533592,2026-04-06T19:24:47.793824+00:00,selenium_simple
Euro,4.245665,4.245665,2026-04-06T19:24:47.793824+00:00,selenium_simple
GB Pound,4.869734,4.869734,2026-04-06T19:24:47.793824+00:00,selenium_simple
Japanese Yen,0.023028,0.023028,2026-04-06T19:24:47.793824+00:00,selenium_simple
Singapore Dollar,2.860648,2.860648,2026-04-06T19:24:47.793824+00:00,selenium_simple
